wdid,str_name,div,utm_x,utm_y,OBJECTID,AREA,PERIMETER,DIST,DIV_2,SYSTEM,FREQ,Shape_Length,Shape_Area
5900774,BIG SOAP PARK DITCH,4,296631.00000000000,4281294.00000000000,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900572,GUNNISON TOWN DITCH,4,333114.00000000000,4272361.00000000000,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900566,GOOSEBERRY MESA IRG D,4,329808.09999999998,4280232.40000000037,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900556,FISHER DITCH ENLARGEMENT,4,338428.29999999999,4288614.59999999963,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5901007,MCKEE NO 2 DITCH,4,325513.90000000002,4287841.20000000019,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5901361,BURT GUERRIERI DITCH,4,323570.00000000000,4285482.59999999963,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900520,BIEBEL NO 3 DITCH,4,332281.09999999998,4275535.20000000019,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900553,ELMER MARSHALL NO1 DITCH,4,335715.09999999998,4275178.20000000019,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900602,JOHN B OUTCALT NO 2 D,4,336304.09999999998,4275322.20000000019,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900523,BOTTENFIELD DITCH,4,334587.70000000001,4302121.79999999981,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
