wdid,str_name,utm_x,utm_y,dist,basin,name
"4000502",SADDLE MT HIGHLINE D,285539.00000000000,4288967.00000000000,40,Gunnison,North Fork Tribs
"4000837",DILLON DITCH,243599.50000000000,4309965.29999999981,40,Gunnison,North Fork Tribs
"4000815",PETERSON DITCH,242442.00000000000,4300373.00000000000,40,Gunnison,North Fork Tribs
"4001304",INDEPENDENT DITCH,229750.00000000000,4291945.00000000000,40,Gunnison,North Fork Tribs
"4000509",ASPEN CANAL,272201.00000000000,4286825.00000000000,40,Gunnison,North Fork Tribs
"4000576",MEEK DIVERSION TUNNEL,278722.00000000000,4269278.00000000000,40,Gunnison,North Fork Tribs
"4001730",NEEDLE ROCK D HGT NO 2,274079.00000000000,4291218.00000000000,40,Gunnison,North Fork Tribs
"4001018",MILLER DITCH,278730.00000000000,4302882.00000000000,40,Gunnison,North Fork Tribs
"4000586",PILOT ROCK DITCH,280213.00000000000,4291012.00000000000,40,Gunnison,North Fork Tribs
"4000767",KOHLER WASTE WATER D,245943.00000000000,4307225.00000000000,40,Gunnison,North Fork Tribs
"4000894",PALMER DITCH,213606.00000000000,4297151.00000000000,40,Gunnison,North Fork Tribs
"4000891",NORTH DELTA CANAL,247937.00000000000,4295400.00000000000,40,Gunnison,North Fork Tribs
"4000677",COLD WATER DITCH,247169.00000000000,4311919.00000000000,40,Gunnison,North Fork Tribs
"4001212",TWIN SPRUCE DITCH,279166.00000000000,4331700.00000000000,40,Gunnison,North Fork Tribs
"4000979",EL BROWN DITCH,275836.00000000000,4302640.00000000000,40,Gunnison,North Fork Tribs
"4001155",HOLYBEE DITCH,277359.00000000000,4309687.00000000000,40,Gunnison,North Fork Tribs
"4001122",DYKE DITCH NO. 2,276535.00000000000,4332491.00000000000,40,Gunnison,North Fork Tribs
"4000609",TEXAS DITCH,279870.00000000000,4282244.00000000000,40,Gunnison,North Fork Tribs
"4001206",STEWART DITCH,279417.00000000000,4310348.00000000000,40,Gunnison,North Fork Tribs
"4001127",ELKS BEAVER DITCH,288623.00000000000,4337988.00000000000,40,Gunnison,North Fork Tribs
"4001385",SUNFLOWER DITCH,240609.00000000000,4294562.00000000000,40,Gunnison,North Fork Tribs
"4000710",GARD DITCH,241472.50000000000,4307314.29999999981,40,Gunnison,North Fork Tribs
"4000797",DURKEE DITCH,253085.00000000000,4307859.00000000000,40,Gunnison,North Fork Tribs
"4002147",COYOTE DITCH NO 1,297788.00000000000,4322515.00000000000,40,Gunnison,North Fork Tribs
"4001165",LARSON DITCH,281180.00000000000,4330657.00000000000,40,Gunnison,North Fork Tribs
"4001113",DEER TRAIL DITCH,281702.00000000000,4312486.00000000000,40,Gunnison,North Fork Tribs
"4000541",DON MEEK NO 2 DITCH,278529.00000000000,4268995.00000000000,40,Gunnison,North Fork Tribs
"4000925",ISOM DITCH,256077.00000000000,4298358.00000000000,40,Gunnison,North Fork Tribs
"4000811",OASIS NO 1 DITCH,258395.00000000000,4301951.00000000000,40,Gunnison,North Fork Tribs
"4001717",MCKEE GULCH DITCH,272954.00000000000,4305450.00000000000,40,Gunnison,North Fork Tribs
"4000537",DIAMOND JOE DITCH,263930.00000000000,4288417.00000000000,40,Gunnison,North Fork Tribs
"4000860",BLUMBERG DITCH NO. 2,199314.00000000000,4281060.00000000000,40,Gunnison,North Fork Tribs
"4000926",LEROUX CREEK DITCH,259024.00000000000,4301583.00000000000,40,Gunnison,North Fork Tribs
"4001133",FIRE MOUNTAIN CANAL,285178.00000000000,4311625.00000000000,40,Gunnison,North Fork Tribs
"4001997",SEEP CREEK DITCH & POND,225925.00000000000,4291997.00000000000,40,Gunnison,North Fork Tribs
"4000717",HUMPER DITCH,240645.50000000000,4307560.29999999981,40,Gunnison,North Fork Tribs
"4001088",BOTSFORD DITCH,293060.00000000000,4330382.00000000000,40,Gunnison,North Fork Tribs
"4000829",CARTWRIGHT DITCH NO 2,244854.50000000000,4309178.29999999981,40,Gunnison,North Fork Tribs
"4001061",WALKER WILKINS DITCH,267710.00000000000,4302542.40000000037,40,Gunnison,North Fork Tribs
"4000569",MAHER DITCH,275276.00000000000,4281755.00000000000,40,Gunnison,North Fork Tribs
"4000848",OAK VALLEY DITCH,237226.70000000001,4307616.40000000037,40,Gunnison,North Fork Tribs
"4002042",NEIGHBORHOOD DITCH,274109.90000000002,4306269.00000000000,40,Gunnison,North Fork Tribs
"4000999",HOTCHKISS DITCH NO. 2,264069.00000000000,4298476.00000000000,40,Gunnison,North Fork Tribs
"4000774",ORCHARD RANCH DITCH,242903.00000000000,4303883.00000000000,40,Gunnison,North Fork Tribs
